# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
  k141_52387_4        K18764  244.97   15.4   0.00067 nocturnin [EC:3.1.3.108]
  k141_52387_4        K14812  347.57   15.2   0.00084 RNA exonuclease NGL2 [EC:3.1.-.-]
  k141_52387_4        K01099  427.27   13.8    0.0014 inositol polyphosphate 5-phosphatase INPP5B/F [EC:3.1.3.36]
  k141_52387_4        K18729  249.30    9.8     0.027 protein angel
  k141_52387_4        K07004  127.50    9.6      0.03 uncharacterized protein
* k141_52387_5        K02990   23.33   98.6   4.4e-29 small subunit ribosomal protein S6
  k141_52387_5        K18423  273.50   20.0   1.5e-05 exportin-2 (importin alpha re-exporter)
* k141_52387_6        K03111   24.77  159.5   2.1e-47 single-strand DNA-binding protein
  k141_52387_6        K02686   49.10   19.4     9e-05 primosomal replication protein N
  k141_52387_6        K03601  132.27   12.5    0.0064 exodeoxyribonuclease VII large subunit [EC:3.1.11.6]
* k141_52387_7        K02963   76.13   98.5   6.8e-29 small subunit ribosomal protein S18
  k141_52387_7        K16174  111.43   36.5   4.5e-10 small subunit ribosomal protein S18b, mitochondrial
  k141_52387_7        K25008 1068.13   12.9    0.0025 ion-translocating oxidoreductase complex subunit C [EC:7.-.-.-]
  k141_52387_8        K02939   53.97   44.8   1.4e-12 large subunit ribosomal protein L9
  k141_84082_1        K18122  568.37  112.0   3.2e-33 4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]
  k141_84082_1        K18288  572.97   79.0   3.1e-23 itaconate CoA-transferase [EC:2.8.3.-]
  k141_84082_1        K27540  686.13   72.0     5e-21 succinyl-CoA:cyclohexane-1-carboxylate CoA transferase [EC:2.3.1.315]
  k141_84082_1        K13929  449.03   15.0    0.0007 malonate decarboxylase alpha subunit [EC:2.3.1.187]
* k141_84082_2        K02377  221.60  470.2  6.4e-142 GDP-L-fucose synthase [EC:1.1.1.271]
  k141_84082_2        K21130  489.83  274.0   1.7e-82 GDP-L-colitose synthase [EC:1.1.1.356]
  k141_84082_2        K13313  422.20  177.3   5.1e-53 dTDP-4-dehydro-6-deoxy-alpha-D-gulose 4-ketoreductase [EC:1.1.1.364]
  k141_84082_2        K15856  304.17  155.9   1.8e-46 GDP-4-dehydro-6-deoxy-D-mannose reductase [EC:1.1.1.281]
  k141_84082_2        K10046  445.67  139.7   1.3e-41 GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]
  k141_84082_2        K01784  270.77  134.4   7.6e-40 UDP-glucose 4-epimerase [EC:5.1.3.2]
  k141_84082_2        K01710  447.23  118.0   6.7e-35 dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]
  k141_84082_2        K08679  364.67  104.0   1.1e-30 UDP-glucuronate 4-epimerase [EC:5.1.3.6]
  k141_84082_2        K02473  437.30   99.6   2.1e-29 UDP-N-acetylglucosamine/UDP-N-acetylgalactosamine 4-epimerase [EC:5.1.3.7 5.1.3.-]
  k141_84082_2        K21211  528.40   95.5   4.1e-28 NDP-hexose 4,6-dehydratase
  k141_84082_2        K21214  230.83   89.7   2.2e-26 NDP-hexose 4-ketoreductase
  k141_84082_2        K08678  516.80   89.2   2.7e-26 UDP-glucuronate decarboxylase [EC:4.1.1.35]
  k141_84082_2        K12453  327.97   80.9   1.1e-23 CDP-paratose synthetase [EC:1.1.1.342]
  k141_84082_2        K21332  457.57   77.8   9.1e-23 dTDP-alpha-D-glucuronic acid decarboxylase [EC:1.1.1.-]
  k141_84082_2        K12450  583.10   76.2   2.1e-22 UDP-glucose 4,6-dehydratase [EC:4.2.1.76]
  k141_84082_2        K01709  282.87   70.8   1.1e-20 CDP-glucose 4,6-dehydratase [EC:4.2.1.45]
  k141_84082_2        K22252  296.77   69.2   4.1e-20 GDP-6-deoxy-D-talose 4-dehydrogenase [EC:1.1.1.135]
  k141_84082_2        K12455  338.10   66.6   2.4e-19 CDP-abequose synthase [EC:1.1.1.341]
  k141_84082_2        K17947  249.20   62.4   3.6e-18 dTDP-L-rhamnose 4-epimerase [EC:5.1.3.25]
  k141_84082_2        K00067  302.27   60.6   1.8e-17 dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]
  k141_84082_2        K12454  264.17   59.2   3.8e-17 CDP-paratose 2-epimerase [EC:5.1.3.10]
  k141_84082_2        K19997  220.00   58.5   8.2e-17 GlcNAc-P-P-Und epimerase [EC:5.1.3.26]
  k141_84082_2        K03274  282.17   56.5   2.9e-16 ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]
  k141_84082_2        K00091  340.63   53.4   2.1e-15 dihydroflavonol-4-reductase [EC:1.1.1.219]
  k141_84082_2        K12448  482.97   50.3   1.6e-14 UDP-arabinose 4-epimerase [EC:5.1.3.5]
  k141_84082_2        K24311  340.77   47.0   2.3e-13 UDP-4-keto-6-deoxy-GlcNAc-4-reductase [EC:1.1.1.-]
  k141_84082_2        K22925  749.80   45.4   5.4e-13 UDP-N-acetylglucosaminuronic acid 4-epimerase [EC:5.1.3.-]
  k141_84082_2        K24310  256.97   42.3   4.9e-12 UDP-N-acetyl-alpha-D-quinovosamine dehydrogenase [EC:1.1.1.426]
  k141_84082_2        K13306       -   40.6   2.1e-11 dTDP-4-dehydro-6-deoxyglucose reductase [EC:1.1.1.266]
  k141_84082_2        K16045  533.13   35.8     4e-10 3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase [EC:1.1.1.145 5.3.3.1]
  k141_84082_2        K17625  526.87   34.8   1.2e-09 dTDP-4-keto-6-deoxyhexose reductase [EC:1.1.1.-]
  k141_84082_2        K22320  348.23   34.7     1e-09 2-alkyl-3-oxoalkanoate reductase [EC:1.1.1.412]
  k141_84082_2        K13318  412.83   28.5   9.6e-08 dTDP-4-keto-6-deoxy-L-hexose 4-reductase [EC:1.1.1.-]
  k141_84082_2        K12451  538.23   24.9   1.2e-06 3,5-epimerase/4-reductase [EC:5.1.3.- 1.1.1.-]
  k141_84082_2        K18836       -   23.2   4.7e-06 reductase VcaE
  k141_84082_2        K19243  275.13   22.2   9.1e-06 NAD+ dependent glucose-6-phosphate dehydrogenase [EC:1.1.1.388]
  k141_84082_2        K16439  653.87   22.2   8.1e-06 reductase EvaE
  k141_84082_2        K24312  380.23   22.1     7e-06 UDP-4-keto-D-FucNAc 4-reductase
  k141_84082_2        K20085  598.07   21.7   1.3e-05 dTDP-3-amino-4-oxo-2,3,6-trideoxy-L-allose reductase [EC:1.1.1.-]
  k141_84082_2        K18981  288.23   21.2   1.5e-05 uronate dehydrogenase [EC:1.1.1.203]
  k141_84082_2        K07748  423.80   20.8   1.4e-05 sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.170]
  k141_84082_2        K01711  284.33   19.3   4.9e-05 GDPmannose 4,6-dehydratase [EC:4.2.1.47]
  k141_84082_2        K19660  346.07   18.0   0.00017 L-arabinose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.376]
  k141_84082_2        K19068  180.70   17.7   0.00017 UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase [EC:1.1.1.367]
  k141_84082_2        K12449  298.80   17.2    0.0002 UDP-apiose/xylose synthase
  k141_84082_2        K19421 1153.33   16.9    0.0002 polysaccharide biosynthesis protein EpsC
  k141_84082_2        K13322  495.73   15.6    0.0009 dTDP-4-keto-6-deoxyhexose 4-ketoreductase
  k141_84082_2        K07118  123.93   15.5     0.001 uncharacterized protein
  k141_84082_2        K00215  130.77   14.3    0.0021 4-hydroxy-tetrahydrodipicolinate reductase [EC:1.17.1.8]
  k141_84082_2        K07071  117.20   14.1     0.002 uncharacterized protein
  k141_84082_2        K23557  515.27   13.9    0.0012 3beta-hydroxysteroid-4beta-carboxylate 3-dehydrogenase (decarboxylating) [EC:1.1.1.417]
  k141_84082_2        K15894  300.83   13.6    0.0025 UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-]
  k141_84082_2        K26183  340.27   13.0    0.0042 naringenin degradation protein FdeJ
  k141_84082_2        K13013  693.20   12.8    0.0034 O-antigen biosynthesis protein WbqV
  k141_84082_2        K01463  159.43   12.6    0.0075 N-acetylglucosamine malate deacetylase 1 [EC:3.5.1.-]
  k141_84082_2        K19336  332.37   11.9     0.014 cyclic-di-GMP-binding biofilm dispersal mediator protein
  k141_84082_2        K17716  704.10   10.8     0.018 UDP-glucose 4-epimerase [EC:5.1.3.2]
  k141_84082_2        K22025  321.00   10.7     0.028 D-erythronate 2-dehydrogenase [EC:1.1.1.410]
  k141_84082_2        K20024  281.93   10.7     0.024 monoglucosyldiacylglycerol epimerase [EC:5.1.3.34]
  k141_84082_2        K06118  294.87   10.6     0.022 UDP-sulfoquinovose synthase [EC:3.13.1.1]
  k141_84082_2        K19267  114.13   10.0     0.048 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
  k141_84082_2        K15912  731.17    9.5     0.037 UDP-N-acetylglucosamine 4,6-dehydratase [EC:4.2.1.135]
  k141_84082_3        K11530   69.97   38.6   1.1e-10 (4S)-4-hydroxy-5-phosphonooxypentane-2,3-dione isomerase [EC:5.3.1.32]
  k141_84082_3        K18661  573.17   10.7     0.013 malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.76 6.2.1.-]
  k141_84082_5        K21401  242.87   64.9   5.9e-19 menaquinone-9 beta-reductase [EC:1.3.99.38]
  k141_11053_1        K11211  107.30   19.1     7e-05 3-deoxy-D-manno-octulosonic acid kinase [EC:2.7.1.166]
  k141_11053_1        K07027   79.93   12.5    0.0071 glycosyltransferase 2 family protein
  k141_11053_1        K07112   24.83   10.9     0.028 uncharacterized protein
  k141_11053_1        K01992   16.03    8.8     0.068 ABC-2 type transport system permease protein
  k141_11053_1        K08209  631.17    4.7      0.83 MFS transporter, OCT family, solute carrier family 22 (organic cation transporter), member 13
  k141_11053_2        K03657  331.50  304.2   2.7e-91 ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]
  k141_11053_2        K16898  504.57  260.7   3.4e-78 ATP-dependent helicase/nuclease subunit A [EC:5.6.2.4 3.1.-.-]
* k141_11053_2        K16899  231.67  241.4   3.5e-72 ATP-dependent helicase/nuclease subunit B [EC:5.6.2.4 3.1.-.-]
  k141_11053_2        K03656  766.47  219.6   1.1e-65 ATP-dependent DNA helicase Rep [EC:5.6.2.4]
  k141_11053_2        K19781  420.03  117.1   9.3e-35 ATP-dependent DNA helicase HMI1, mitochondrial [EC:5.6.2.4]
  k141_11053_2        K03582  487.00   86.4   1.8e-25 exodeoxyribonuclease V beta subunit [EC:3.1.11.5]
  k141_11053_2        K07465  131.27   76.1     3e-22 putative RecB family exonuclease
  k141_11053_2        K26876 1488.23   65.6   3.5e-19 Bacillus phage DNA helicase
  k141_11053_2        K03658  206.57   59.4   2.6e-17 DNA helicase IV [EC:5.6.2.4]
  k141_11053_2        K10300  211.20   29.4   2.7e-08 F-box DNA helicase 1 [EC:5.6.2.4]
  k141_11053_2        K03581  246.47   22.8   3.7e-06 exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]
  k141_11053_2        K07464   54.67   21.1   2.5e-05 CRISPR-associated exonuclease Cas4 [EC:3.1.12.1]
  k141_11053_2        K10742  432.30   18.4   4.4e-05 DNA replication ATP-dependent helicase/nuclease Dna2 [EC:5.6.2.3 3.1.-.-]
  k141_11053_2        K12203  314.70   13.9    0.0023 defect in organelle trafficking protein DotB [EC:7.2.4.8]
  k141_11053_2        K02454  632.50   13.9    0.0018 general secretion pathway protein E [EC:7.4.2.8]
  k141_11053_2        K00857   65.60   11.7     0.016 thymidine kinase [EC:2.7.1.21]
  k141_11053_2        K02669  497.53   11.1     0.016 twitching motility protein PilT
  k141_11053_2        K15255  139.33   10.9     0.011 ATP-dependent DNA helicase PIF1 [EC:5.6.2.3]
  k141_11053_2        K12071  223.20   10.5     0.017 conjugal transfer pilus assembly protein TraD
  k141_11053_2        K26863 1145.50    9.9     0.017 Ilarvirus methyltransferase/helicase
  k141_11053_2        K19783  735.23    8.6     0.051 DNA polymerase alpha-associated DNA helicase A [EC:5.6.2.3]
* k141_11053_3        K03657  331.50  386.7  3.1e-116 ATP-dependent DNA helicase UvrD/PcrA [EC:5.6.2.4]
  k141_11053_3        K03656  766.47  272.0   1.5e-81 ATP-dependent DNA helicase Rep [EC:5.6.2.4]
  k141_11053_3        K16898  504.57  252.2   1.3e-75 ATP-dependent helicase/nuclease subunit A [EC:5.6.2.4 3.1.-.-]
  k141_11053_3        K03582  487.00  162.2   2.3e-48 exodeoxyribonuclease V beta subunit [EC:3.1.11.5]
  k141_11053_3        K19781  420.03  112.3   2.6e-33 ATP-dependent DNA helicase HMI1, mitochondrial [EC:5.6.2.4]
  k141_11053_3        K03658  206.57   66.6   1.6e-19 DNA helicase IV [EC:5.6.2.4]
  k141_11053_3        K26876 1488.23   64.3   8.6e-19 Bacillus phage DNA helicase
  k141_11053_3        K16899  231.67   61.0   1.1e-17 ATP-dependent helicase/nuclease subunit B [EC:5.6.2.4 3.1.-.-]
  k141_11053_3        K10300  211.20   22.7   2.9e-06 F-box DNA helicase 1 [EC:5.6.2.4]
  k141_11053_3        K03581  246.47   20.9   1.3e-05 exodeoxyribonuclease V alpha subunit [EC:3.1.11.5]
  k141_11053_3        K26903 1728.80   20.8   8.1e-06 Mimiviridae putative ATP-dependent DNA helicase
  k141_57943_1        K26783  891.43   12.3    0.0039 Straboviridae baseplate wedge protein Gp6
  k141_57943_3        K21463  194.90   15.5   0.00065 membrane-associated protein TcaA
  k141_57943_3        K16361  198.77   13.2    0.0029 cytotoxic and regulatory T-cell molecule
  k141_57943_3        K08421  308.50   10.7      0.02 G protein-coupled receptor 84
  k141_57943_3        K21989   79.50   10.1     0.017 calcium permeable stress-gated cation channel
  k141_57943_3        K20279  498.53    6.2      0.23 synaptojanin [EC:3.1.3.36]
  k141_57943_3        K27092  567.27    4.0       2.7 ESX secretion-associated protein EspI
  k141_57943_3        K18439 1458.10    0.9       7.7 Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1
  k141_2803_3         K07243   31.80   16.2   0.00042 high-affinity iron transporter
  k141_2803_3         K07710  387.67   14.3    0.0015 two-component system, NtrC family, sensor histidine kinase AtoS [EC:2.7.13.3]
  k141_2803_3         K02275  204.73   13.0    0.0074 cytochrome c oxidase subunit II [EC:7.1.1.9]
  k141_2803_3         K23352   57.73   12.8    0.0098 glutaconyl-CoA/methylmalonyl-CoA decarboxylase subunit delta
  k141_2803_3         K22660 1479.00   12.4    0.0025 calsyntenin 2
  k141_2803_3         K00730   43.10   11.9     0.021 dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit 4
  k141_2803_3         K08514  127.00   11.5      0.02 vesicle-associated membrane protein 5
  k141_2803_3         K03158  261.30   11.3     0.015 tumor necrosis factor receptor superfamily member 1A
  k141_2803_3         K03320  155.47   10.4      0.02 ammonium transporter, Amt family
  k141_2803_3         K11244   81.30   10.3     0.034 cell wall integrity and stress response component
  k141_2803_3         K06780  518.27   10.3     0.024 cell adhesion molecule 3
  k141_2803_3         K26936  317.27   10.2     0.021 T-cell immunoglobulin and mucin domain-containing protein 4
  k141_2803_3         K24958  191.50    9.7     0.036 Herpesviridae envelope glycoprotein E
  k141_2803_3         K05070  206.67    9.7     0.036 interleukin 2 receptor gamma
  k141_2803_3         K07718  278.57    9.6     0.035 two-component system, sensor histidine kinase YesM [EC:2.7.13.3]
  k141_2803_3         K06702  612.37    9.6     0.033 CDW93 antigen
  k141_2803_3         K16362  448.27    9.5     0.024 leucine-rich repeat transmembrane protein FLRT
  k141_2803_3         K05135  247.93    9.4     0.051 interleukin 10 receptor beta
  k141_2803_3         K20230  548.53    9.3      0.04 kekkon-1
  k141_2803_3         K16910  864.53    8.2      0.03 receptor-type tyrosine-protein phosphatase Q [EC:3.1.3.48]
  k141_2803_3         K24334  278.03    3.3       3.2 multiple epidermal growth factor-like domains protein 9
  k141_2803_3         K06576  129.53    3.0       9.8 glycophorin C
  k141_2803_4         K02011  343.43   14.2     0.001 iron(III) transport system permease protein
  k141_2803_4         K06731   83.07   12.8    0.0081 bone marrow stromal cell antigen 2
  k141_2803_4         K06791  308.87    9.7     0.037 immunoglobulin superfamily, member 11
  k141_2803_4         K12541  659.03    8.3     0.046 ATP-binding cassette, subfamily C, bacterial LapB
  k141_2803_4         K06550 1559.23    3.9      0.95 L1 cell adhesion molecule
  k141_2803_5         K18072  478.93   13.7    0.0031 two-component system, OmpR family, sensor kinase ParS [EC:2.7.13.3]
  k141_2803_5         K13372  903.83   12.7    0.0044 aralkylamine dehydrogenase heavy chain [EC:1.4.9.2]
  k141_2803_5         K05571  110.53   11.9     0.015 multicomponent Na+:H+ antiporter subunit G
  k141_2803_6         K06392   57.63   13.5    0.0069 stage III sporulation protein AC
  k141_2803_6         K21088  240.23   10.7     0.027 diguanylate cyclase [EC:2.7.7.65]
  k141_2803_6         K16046  420.57   10.6     0.018 cholest-4-en-3-one 26-monooxygenase [EC:1.14.15.28]
* k141_2803_7         K09386   83.90  116.7   1.6e-34 uncharacterized protein
  k141_2803_7         K16877 1042.90   44.8     5e-13 2-furoyl-CoA dehydrogenase large subunit [EC:1.3.99.8]
  k141_2803_7         K20172       -   38.4   6.6e-11 3-succinoylpyridine monooxygenase subunit C
  k141_2803_7         K03409   52.07   11.7     0.016 chemotaxis protein CheX
* k141_2803_8         K07402   72.60  152.1   3.7e-45 xanthine dehydrogenase accessory factor
  k141_2803_8         K19342   71.63   20.2   4.5e-05 copper chaperone NosL
  k141_2803_8         K23254 1332.53   16.4   0.00034 P-type Ag+ transporter [EC:7.2.2.15]
  k141_2803_8         K03286  114.20   12.7    0.0084 OmpA-OmpF porin, OOP family
  k141_2803_8         K16242  569.97   12.1    0.0057 phenol/toluene 2-monooxygenase (NADH) P3/A3 [EC:1.14.13.244 1.14.13.243]
  k141_2803_8         K21218  145.63   10.7     0.022 sodium-type flagellar protein MotY
  k141_2803_8         K03640  148.07   10.4     0.042 peptidoglycan-associated lipoprotein
* k141_2803_9         K03520  854.07 1037.8         0 aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]
  k141_2803_9         K19820 1131.70  689.0  9.4e-208 nicotine dehydrogenase subunit C [EC:1.5.99.4]
  k141_2803_9         K24716  973.57  621.9  1.7e-187 3-oxo-Delta1-steroid hydratase/dehydrogenase large subunit [EC:1.17.99.11]
  k141_2803_9         K16877 1042.90  568.7  2.6e-171 2-furoyl-CoA dehydrogenase large subunit [EC:1.3.99.8]
  k141_2803_9         K19187 1259.40  565.2  2.6e-170 6-hydroxypseudooxynicotine dehydrogenase subunit gamma [EC:1.5.99.14]
  k141_2803_9         K18020 1222.67  500.1  1.2e-150 glyceraldehyde dehydrogenase large subunit [EC:1.2.99.8]
  k141_2803_9         K00087  832.67  448.4  6.3e-135 xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]
  k141_2803_9         K12528  844.43  434.5  6.8e-131 putative selenate reductase molybdopterin-binding subunit
  k141_2803_9         K21673       -  424.8  8.2e-128 caffeine dehydrogenase subunit alpha [EC:1.17.5.2]
  k141_2803_9         K11177  650.70  377.8  1.8e-113 xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]
  k141_2803_9         K04108 1177.00  367.0  2.3e-110 4-hydroxybenzoyl-CoA reductase subunit alpha [EC:1.1.7.1]
  k141_2803_9         K20171 1709.50  360.9  1.8e-108 3-succinoylpyridine monooxygenase subunit A
  k141_2803_9         K13482 1164.40  291.9     1e-87 xanthine dehydrogenase large subunit [EC:1.17.1.4]
  k141_2803_9         K20448  404.47  278.0   1.2e-83 nicotinate dehydrogenase medium molybdopterin subunit [EC:1.17.1.5]
  k141_2803_9         K07469  922.57  274.4   2.4e-82 aldehyde oxidoreductase [EC:1.2.99.7]
  k141_2803_9         K00106 1623.73  249.9   4.8e-75 xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
  k141_2803_9         K20447  582.83  208.3   2.3e-62 nicotinate dehydrogenase large molybdopterin subunit [EC:1.17.1.5]
  k141_2803_9         K00157 2169.47  177.5   2.8e-53 aldehyde oxidase [EC:1.2.3.1]
  k141_2803_9         K18030  595.03  152.1   2.5e-45 nicotinate dehydrogenase subunit B [EC:1.17.2.1]
  k141_2803_9         K07303  608.90  119.5   1.7e-35 isoquinoline 1-oxidoreductase subunit beta [EC:1.3.99.16]
  k141_2803_9         K09842 2247.30   81.8     2e-24 abscisic-aldehyde oxidase [EC:1.2.3.14]
  k141_2803_9         K11817 2330.20   64.8     3e-19 indole-3-acetaldehyde oxidase [EC:1.2.3.7]
  k141_2803_9         K22417 2977.63   57.8   3.5e-17 benzaldehyde dehydrogenase (NAD+) / indole-3-acetaldehyde oxidase [EC:1.2.1.28 1.2.3.7]
* k141_2803_10        K03518  247.53  290.6   1.9e-87 aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]
  k141_2803_10        K13483  254.17  231.2   1.8e-69 xanthine dehydrogenase YagT iron-sulfur-binding subunit
  k141_2803_10        K24718  258.17  230.7   5.9e-70 3-oxo-Delta1-steroid hydratase/dehydrogenase small subunit [EC:1.17.99.11]
  k141_2803_10        K18022  283.80  225.7   2.9e-68 glyceraldehyde dehydrogenase small subunit [EC:1.2.99.8]
  k141_2803_10        K16879  251.77  224.6   6.5e-68 2-furoyl-CoA dehydrogenase 2Fe-2S iron sulfur subunit [EC:1.3.99.8]
  k141_2803_10        K19819  263.17  217.6   8.7e-66 nicotine dehydrogenase subunit B [EC:1.5.99.4]
  k141_2803_10        K19186  253.47  208.1     7e-63 6-hydroxypseudooxynicotine dehydrogenase subunit beta [EC:1.5.99.14]
  k141_2803_10        K04107  270.37  203.9   1.2e-61 4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.1.7.1]
  k141_2803_10        K18029  225.90  194.5   1.9e-58 nicotinate dehydrogenase subunit A [EC:1.17.2.1]
  k141_2803_10        K20446  241.50  190.5   1.5e-57 nicotinate dehydrogenase small FeS subunit [EC:1.17.1.5]
  k141_2803_10        K07469  922.57  187.8   3.6e-56 aldehyde oxidoreductase [EC:1.2.99.7]
  k141_2803_10        K07302  237.17  181.7   1.7e-54 isoquinoline 1-oxidoreductase subunit alpha [EC:1.3.99.16]
  k141_2803_10        K13480  239.97  168.6   7.2e-51 xanthine dehydrogenase iron-sulfur-binding subunit
  k141_2803_10        K13481  453.60  168.1   4.4e-50 xanthine dehydrogenase small subunit [EC:1.17.1.4]
  k141_2803_10        K21675       -  164.7   1.7e-49 caffeine dehydrogenase subunit gamma [EC:1.17.5.2]
  k141_2803_10        K12528  844.43  162.9   8.5e-49 putative selenate reductase molybdopterin-binding subunit
  k141_2803_10        K00106 1623.73  157.4     4e-47 xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]
  k141_2803_10        K20172       -  142.7   1.4e-42 3-succinoylpyridine monooxygenase subunit C
  k141_2803_10        K00157 2169.47  131.7   1.8e-39 aldehyde oxidase [EC:1.2.3.1]
  k141_2803_10        K13482 1164.40  106.3   1.2e-31 xanthine dehydrogenase large subunit [EC:1.17.1.4]
  k141_2803_10        K09842 2247.30   76.9   6.1e-23 abscisic-aldehyde oxidase [EC:1.2.3.14]
  k141_2803_10        K11817 2330.20   74.7   3.2e-22 indole-3-acetaldehyde oxidase [EC:1.2.3.7]
  k141_2803_10        K22417 2977.63   56.4   9.3e-17 benzaldehyde dehydrogenase (NAD+) / indole-3-acetaldehyde oxidase [EC:1.2.1.28 1.2.3.7]
  k141_2803_10        K00240  159.43   14.4    0.0016 succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
  k141_2803_10        K18225  397.63   13.4    0.0031 propane monooxygenase reductase component [EC:1.18.1.-]
  k141_2803_10        K18006  285.83   12.9    0.0056 [NiFe] hydrogenase diaphorase moiety small subunit [EC:1.12.1.2]
  k141_2803_10        K22550   92.30   12.8    0.0088 D-hydroxyproline dehydrogenase subunit gamma
  k141_2803_10        K18210  354.43   12.7    0.0039 fumarate reductase (CoM/CoB) subunit B [EC:1.3.4.1]
  k141_2803_10        K25995  383.63   11.2      0.02 succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1 7.1.1.12]
